"ID","Arthromyces matolae 10171TJB","Arthromyces matolae 10185TJB","Asterophora lycoperdoides","Asterophora parasitica","Blastosporella zonata","Calocybe carnea","Calocybe cyanea","Calocybe gangraenosa","Hypsizygus ulmarius","Lyophyllum decastes","Lyophyllum semitale","Lyophyllum shimeji","Myochromella boudieri","Sphagnurus paluster","Tephrocybe rancida Trssc25","Tephrocybe rancida Trssc53","Tephrocybe sp1. 10521TJB","Tephrocybe sp2. 9174TJB","Tephrocybe sp3. HNL501043","Tephrocybe sp4. 9980TJB","Tephrocybe sp5. DS06151","Termitomyces bulborhizus","Termitomyces cryptogamus","Termitomyces cryptogamus T132","Termitomyces eurrhizus","Termitomyces fragilis","Termitomyces heimii","Termitomyces microcarpus","Termitomyces reticulatus","Termitomyces robustus","Termitomyces sagittiformis","Termitomyces sp. DKA19","Termitomyces sp. DKA64","Termitomyces sp. JCM13351","Termitomyces sp. K1Ag","Termitomyces sp. MG145","Termitomyces sp. MG16","Termitomyces sp. Mi166","Termitomyces sp. Mx157","Termitomyces sp. Od127","Termitomyces sp. T108a","Termitomyces sp. T27","Termitomyces sp. T70a","Termitomyces striatus","Termitomyces titanicus","Tricholomella constricta"
"GH20","1","2","2","2","2","1","1","0","1","1","1","2","2","1","1","1","2","2","2","2","2","1","2","2","2","3","2","2","3","2","3","0","2","2","3","3","2","1","2","1","3","2","1","2","3","2"
"GH24","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"GH25","1","2","1","0","1","0","2","1","3","1","1","0","1","1","2","2","1","2","2","1","1","1","1","1","3","1","1","2","2","4","2","1","1","1","1","1","3","3","2","1","2","2","2","4","3","3"
"GH27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"GH28","3","3","0","0","1","1","1","3","0","3","1","1","4","1","4","3","2","3","2","5","8","2","2","2","2","1","1","0","1","3","0","1","2","1","0","0","1","2","0","0","1","3","0","2","2","3"
"GH29","2","0","0","0","0","0","1","1","0","1","1","1","1","2","2","1","0","1","0","2","1","0","1","0","0","2","1","0","0","1","1","1","1","0","1","0","0","1","1","0","0","0","0","1","1","0"
"GH3","12","14"," 7"," 5"," 6"," 7"," 8","11"," 7"," 9","10"," 8","11","11","13","12"," 9"," 9","10"," 8"," 8","10","12"," 9"," 8"," 8"," 9"," 5"," 8","11","13"," 8","10"," 9"," 8"," 7"," 9","13"," 8","12"," 8","12"," 9","12","13"," 7"
"GH30","0","0","1","0","0","1","0","2","1","1","1","0","1","0","1","0","0","0","1","1","2","0","1","1","0","0","1","0","0","0","1","0","1","1","0","0","0","1","0","1","0","2","0","0","1","1"
"GH31","3","4","2","1","5","5","4","5","4","4","7","3","7","5","5","5","4","3","1","5","5","5","3","3","3","2","1","3","3","4","2","4","4","4","4","4","2","1","4","1","2","3","3","4","4","4"
"GH32","0","0","0","0","0","1","0","1","0","1","1","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
